name,public,private,tract
"Census Tract 41, New York County, New York",265,22,1004100
"Census Tract 42, New York County, New York",45,0,1004200
"Census Tract 43, New York County, New York",0,17,1004300
"Census Tract 44, New York County, New York",286,130,1004400
"Census Tract 45, New York County, New York",44,13,1004500
"Census Tract 47, New York County, New York",28,19,1004700
"Census Tract 48, New York County, New York",27,65,1004800
"Census Tract 49, New York County, New York",62,12,1004900
"Census Tract 50, New York County, New York",33,86,1005000
"Census Tract 52, New York County, New York",0,23,1005200
"Census Tract 54, New York County, New York",50,48,1005400
"Census Tract 55.01, New York County, New York",102,44,1005501
"Census Tract 55.02, New York County, New York",13,30,1005502
"Census Tract 56, New York County, New York",0,0,1005600
"Census Tract 57, New York County, New York",17,20,1005700
"Census Tract 58, New York County, New York",36,0,1005800
"Census Tract 59, New York County, New York",0,45,1005900
"Census Tract 60, New York County, New York",13,17,1006000
"Census Tract 61, New York County, New York",16,70,1006100
"Census Tract 62, New York County, New York",29,35,1006200
"Census Tract 63, New York County, New York",24,57,1006300
"Census Tract 64, New York County, New York",8,0,1006400
"Census Tract 65, New York County, New York",35,0,1006500
"Census Tract 66, New York County, New York",135,246,1006600
"Census Tract 67, New York County, New York",6,13,1006700
"Census Tract 68, New York County, New York",0,0,1006800
"Census Tract 69, New York County, New York",13,7,1006900
"Census Tract 70, New York County, New York",21,28,1007000
"Census Tract 71, New York County, New York",43,13,1007100
"Census Tract 72, New York County, New York",29,28,1007200
"Census Tract 73, New York County, New York",0,20,1007300
"Census Tract 74, New York County, New York",48,0,1007400
"Census Tract 75, New York County, New York",39,27,1007500
"Census Tract 76, New York County, New York",1,5,1007600
"Census Tract 77, New York County, New York",5,0,1007700
"Census Tract 78, New York County, New York",0,36,1007800
"Census Tract 79, New York County, New York",12,22,1007900
"Census Tract 80, New York County, New York",59,0,1008000
"Census Tract 81, New York County, New York",38,98,1008100
"Census Tract 82, New York County, New York",43,13,1008200
"Census Tract 83, New York County, New York",67,14,1008300
"Census Tract 84, New York County, New York",7,0,1008400
"Census Tract 86.01, New York County, New York",26,19,1008601
"Census Tract 86.02, New York County, New York",0,0,1008602
"Census Tract 86.03, New York County, New York",0,41,1008603
"Census Tract 87, New York County, New York",43,21,1008700
"Census Tract 88, New York County, New York",146,0,1008800
"Census Tract 89, New York County, New York",43,53,1008900
"Census Tract 90, New York County, New York",5,0,1009000
"Census Tract 91, New York County, New York",206,8,1009100
"Census Tract 92, New York County, New York",8,29,1009200
"Census Tract 93, New York County, New York",216,0,1009300
"Census Tract 94, New York County, New York",0,0,1009400
"Census Tract 95, New York County, New York",9,44,1009500
"Census Tract 96, New York County, New York",0,0,1009600
"Census Tract 97, New York County, New York",22,49,1009700
"Census Tract 98, New York County, New York",63,0,1009800
"Census Tract 99, New York County, New York",15,55,1009900
"Census Tract 100, New York County, New York",2,0,1010000
"Census Tract 101, New York County, New York",20,0,1010100
"Census Tract 102, New York County, New York",0,0,1010200
"Census Tract 103, New York County, New York",10,0,1010300
"Census Tract 104, New York County, New York",4,0,1010400
"Census Tract 106.01, New York County, New York",20,44,1010601
"Census Tract 106.02, New York County, New York",52,27,1010602
"Census Tract 108, New York County, New York",27,40,1010800
"Census Tract 109, New York County, New York",0,0,1010900
"Census Tract 110, New York County, New York",28,150,1011000
"Census Tract 111, New York County, New York",73,0,1011100
"Census Tract 112.01, New York County, New York",0,14,1011201
"Census Tract 112.02, New York County, New York",0,12,1011202
"Census Tract 112.03, New York County, New York",12,17,1011203
"Census Tract 113, New York County, New York",0,0,1011300
"Census Tract 114.01, New York County, New York",3,22,1011401
"Census Tract 114.02, New York County, New York",7,18,1011402
"Census Tract 115, New York County, New York",37,0,1011500
"Census Tract 116, New York County, New York",18,15,1011600
"Census Tract 117, New York County, New York",24,12,1011700
"Census Tract 118, New York County, New York",24,108,1011800
"Census Tract 119, New York County, New York",0,0,1011900
"Census Tract 120, New York County, New York",13,33,1012000
"Census Tract 121, New York County, New York",21,77,1012100
"Census Tract 122, New York County, New York",70,32,1012200
"Census Tract 124, New York County, New York",148,71,1012400
"Census Tract 125, New York County, New York",0,10,1012500
"Census Tract 126, New York County, New York",84,73,1012600
"Census Tract 127, New York County, New York",66,0,1012700
"Census Tract 128, New York County, New York",12,100,1012800
"Census Tract 129, New York County, New York",78,0,1012900
"Census Tract 130, New York County, New York",10,80,1013000
"Census Tract 131, New York County, New York",7,5,1013100
"Census Tract 132, New York County, New York",273,0,1013200
"Census Tract 133, New York County, New York",40,0,1013300
"Census Tract 134, New York County, New York",149,370,1013400
"Census Tract 135, New York County, New York",65,27,1013500
"Census Tract 136, New York County, New York",128,35,1013600
"Census Tract 137, New York County, New York",0,90,1013700
"Census Tract 138, New York County, New York",128,3,1013800
"Census Tract 139, New York County, New York",32,88,1013900
"Census Tract 140, New York County, New York",127,109,1014000
"Census Tract 142, New York County, New York",0,201,1014200
"Census Tract 143, New York County, New York",0,0,1014300
"Census Tract 144.01, New York County, New York",78,158,1014401
"Census Tract 144.02, New York County, New York",0,34,1014402
"Census Tract 145, New York County, New York",0,34,1014500
"Census Tract 146.01, New York County, New York",27,0,1014601
"Census Tract 146.02, New York County, New York",86,129,1014602
"Census Tract 147, New York County, New York",35,26,1014700
"Census Tract 148.01, New York County, New York",13,36,1014801
"Census Tract 148.02, New York County, New York",75,150,1014802
"Census Tract 149, New York County, New York",0,62,1014900
"Census Tract 150.01, New York County, New York",27,88,1015001
"Census Tract 150.02, New York County, New York",81,188,1015002
"Census Tract 151, New York County, New York",116,39,1015100
"Census Tract 152, New York County, New York",138,53,1015200
"Census Tract 153, New York County, New York",25,70,1015300
"Census Tract 154, New York County, New York",481,129,1015400
"Census Tract 155, New York County, New York",42,76,1015500
"Census Tract 156.01, New York County, New York",10,0,1015601
"Census Tract 156.02, New York County, New York",47,27,1015602
"Census Tract 157, New York County, New York",0,134,1015700
"Census Tract 158.01, New York County, New York",32,75,1015801
"Census Tract 158.02, New York County, New York",0,17,1015802
"Census Tract 159, New York County, New York",25,57,1015900
"Census Tract 160.01, New York County, New York",32,156,1016001
"Census Tract 160.02, New York County, New York",0,70,1016002
"Census Tract 161, New York County, New York",27,71,1016100
"Census Tract 162, New York County, New York",494,33,1016200
"Census Tract 163, New York County, New York",0,30,1016300
"Census Tract 164, New York County, New York",437,60,1016400
"Census Tract 165, New York County, New York",17,99,1016500
"Census Tract 166, New York County, New York",329,63,1016600
"Census Tract 167, New York County, New York",15,125,1016700
"Census Tract 168, New York County, New York",336,57,1016800
"Census Tract 169, New York County, New York",3,209,1016900
"Census Tract 170, New York County, New York",172,41,1017000
"Census Tract 171, New York County, New York",84,317,1017100
"Census Tract 172, New York County, New York",248,0,1017200
"Census Tract 173, New York County, New York",0,229,1017300
"Census Tract 174.01, New York County, New York",458,26,1017401
"Census Tract 174.02, New York County, New York",71,17,1017402
"Census Tract 175, New York County, New York",62,252,1017500
"Census Tract 177, New York County, New York",232,164,1017700
"Census Tract 178, New York County, New York",133,36,1017800
"Census Tract 179, New York County, New York",115,387,1017900
"Census Tract 180, New York County, New York",513,31,1018000
"Census Tract 181, New York County, New York",84,191,1018100
"Census Tract 182, New York County, New York",577,39,1018200
"Census Tract 183, New York County, New York",0,129,1018300
"Census Tract 184, New York County, New York",364,9,1018400
"Census Tract 185, New York County, New York",29,31,1018500
"Census Tract 186, New York County, New York",453,0,1018600
"Census Tract 187, New York County, New York",23,127,1018700
"Census Tract 188, New York County, New York",176,0,1018800
"Census Tract 189, New York County, New York",770,61,1018900
"Census Tract 190, New York County, New York",91,11,1019000
"Census Tract 191, New York County, New York",198,122,1019100
"Census Tract 192, New York County, New York",304,0,1019200
"Census Tract 193, New York County, New York",196,126,1019300
"Census Tract 194, New York County, New York",269,52,1019400
"Census Tract 195, New York County, New York",90,81,1019500
"Census Tract 196, New York County, New York",237,12,1019600
"Census Tract 197.01, New York County, New York",0,0,1019701
"Census Tract 197.02, New York County, New York",120,0,1019702
"Census Tract 198, New York County, New York",90,0,1019800
"Census Tract 199, New York County, New York",39,39,1019900
"Census Tract 200, New York County, New York",21,88,1020000
"Census Tract 201.01, New York County, New York",8,4,1020101
"Census Tract 201.02, New York County, New York",62,46,1020102
"Census Tract 203, New York County, New York",0,0,1020300
"Census Tract 205, New York County, New York",58,17,1020500
"Census Tract 206, New York County, New York",114,2,1020600
"Census Tract 207.01, New York County, New York",0,0,1020701
"Census Tract 208, New York County, New York",106,38,1020800
"Census Tract 209.01, New York County, New York",211,17,1020901
"Census Tract 210, New York County, New York",628,16,1021000
"Census Tract 211, New York County, New York",347,0,1021100
"Census Tract 212, New York County, New York",35,0,1021200
"Census Tract 213.03, New York County, New York",261,0,1021303
"Census Tract 214, New York County, New York",53,0,1021400
"Census Tract 215, New York County, New York",226,53,1021500
"Census Tract 216, New York County, New York",263,54,1021600
"Census Tract 217.03, New York County, New York",0,0,1021703
"Census Tract 218, New York County, New York",231,17,1021800
"Census Tract 219, New York County, New York",405,0,1021900
"Census Tract 220, New York County, New York",298,0,1022000
"Census Tract 221.02, New York County, New York",54,33,1022102
"Census Tract 222, New York County, New York",171,6,1022200
"Census Tract 223.01, New York County, New York",537,15,1022301
"Census Tract 223.02, New York County, New York",87,9,1022302
"Census Tract 224, New York County, New York",298,29,1022400
"Census Tract 225, New York County, New York",541,79,1022500
"Census Tract 226, New York County, New York",114,36,1022600
"Census Tract 227, New York County, New York",181,13,1022700
"Census Tract 228, New York County, New York",125,0,1022800
"Census Tract 229, New York County, New York",252,0,1022900
"Census Tract 230, New York County, New York",515,0,1023000
"Census Tract 231, New York County, New York",77,88,1023100
"Census Tract 232, New York County, New York",456,23,1023200
"Census Tract 233, New York County, New York",248,18,1023300
"Census Tract 234, New York County, New York",353,5,1023400
"Census Tract 235.01, New York County, New York",260,0,1023501
"Census Tract 235.02, New York County, New York",103,15,1023502
"Census Tract 236, New York County, New York",181,8,1023600
"Census Tract 237, New York County, New York",441,57,1023700
"Census Tract 238.01, New York County, New York",290,42,1023801
"Census Tract 238.02, New York County, New York",23,20,1023802
"Census Tract 239, New York County, New York",158,0,1023900
"Census Tract 240, New York County, New York",26,7,1024000
"Census Tract 241, New York County, New York",261,0,1024100
"Census Tract 242, New York County, New York",273,8,1024200
"Census Tract 243.01, New York County, New York",194,0,1024301
"Census Tract 243.02, New York County, New York",713,22,1024302
"Census Tract 245, New York County, New York",674,15,1024500
"Census Tract 247, New York County, New York",317,0,1024700
"Census Tract 249, New York County, New York",73,6,1024900
"Census Tract 251, New York County, New York",111,0,1025100
"Census Tract 253, New York County, New York",636,26,1025300
"Census Tract 255, New York County, New York",216,0,1025500
"Census Tract 257, New York County, New York",173,47,1025700
"Census Tract 259, New York County, New York",146,38,1025900
"Census Tract 261, New York County, New York",621,20,1026100
"Census Tract 263, New York County, New York",530,0,1026300
"Census Tract 265, New York County, New York",266,8,1026500
"Census Tract 267, New York County, New York",47,8,1026700
"Census Tract 269, New York County, New York",404,0,1026900
"Census Tract 271, New York County, New York",418,62,1027100
"Census Tract 273, New York County, New York",24,107,1027300
"Census Tract 275, New York County, New York",96,32,1027500
"Census Tract 277, New York County, New York",260,44,1027700
"Census Tract 279, New York County, New York",472,0,1027900
"Census Tract 281, New York County, New York",63,0,1028100
"Census Tract 283, New York County, New York",326,35,1028300
"Census Tract 285, New York County, New York",330,18,1028500
"Census Tract 287, New York County, New York",111,11,1028700
"Census Tract 291, New York County, New York",618,20,1029100
"Census Tract 293, New York County, New York",510,32,1029300
"Census Tract 295, New York County, New York",146,32,1029500
"Census Tract 297, New York County, New York",0,0,1029700
"Census Tract 299, New York County, New York",344,34,1029900
"Census Tract 303, New York County, New York",148,0,1030300
"Census Tract 307, New York County, New York",72,40,1030700
"Census Tract 309, New York County, New York",637,11,1030900
"Census Tract 311, New York County, New York",0,0,1031100
"Census Tract 317.03, New York County, New York",154,97,1031703
"Census Tract 317.04, New York County, New York",105,43,1031704
"Census Tract 319, New York County, New York",0,0,1031900
"Census Tract 1, Bronx County, New York",0,0,2000100
"Census Tract 2, Bronx County, New York",405,29,2000200
"Census Tract 4, Bronx County, New York",277,16,2000400
"Census Tract 16, Bronx County, New York",375,31,2001600
"Census Tract 19, Bronx County, New York",92,0,2001900
"Census Tract 20, Bronx County, New York",877,0,2002000
"Census Tract 23, Bronx County, New York",356,0,2002300
"Census Tract 24, Bronx County, New York",0,0,2002400
"Census Tract 25, Bronx County, New York",387,0,2002500
"Census Tract 27.01, Bronx County, New York",178,10,2002701
"Census Tract 27.02, Bronx County, New York",570,0,2002702
"Census Tract 28, Bronx County, New York",144,0,2002800
"Census Tract 31, Bronx County, New York",84,10,2003100
"Census Tract 33, Bronx County, New York",385,87,2003300
"Census Tract 35, Bronx County, New York",215,16,2003500
"Census Tract 37, Bronx County, New York",15,0,2003700
"Census Tract 38, Bronx County, New York",17,0,2003800
"Census Tract 39, Bronx County, New York",336,61,2003900
"Census Tract 40.01, Bronx County, New York",60,7,2004001
"Census Tract 41, Bronx County, New York",560,0,2004100
"Census Tract 42, Bronx County, New York",443,50,2004200
"Census Tract 43, Bronx County, New York",322,16,2004300
"Census Tract 44, Bronx County, New York",408,11,2004400
"Census Tract 46, Bronx County, New York",124,0,2004600
"Census Tract 48, Bronx County, New York",315,22,2004800
"Census Tract 50.01, Bronx County, New York",284,31,2005001
"Census Tract 50.02, Bronx County, New York",369,10,2005002
"Census Tract 51, Bronx County, New York",667,22,2005100
"Census Tract 52, Bronx County, New York",213,16,2005200
"Census Tract 53, Bronx County, New York",283,10,2005300
"Census Tract 54, Bronx County, New York",228,0,2005400
"Census Tract 56, Bronx County, New York",151,16,2005600
"Census Tract 59.02, Bronx County, New York",224,0,2005902
"Census Tract 60, Bronx County, New York",62,0,2006000
"Census Tract 61, Bronx County, New York",147,15,2006100
"Census Tract 62, Bronx County, New York",520,12,2006200
"Census Tract 63, Bronx County, New York",175,11,2006300
"Census Tract 64, Bronx County, New York",122,26,2006400
"Census Tract 65, Bronx County, New York",374,0,2006500
"Census Tract 67, Bronx County, New York",492,0,2006700
"Census Tract 68, Bronx County, New York",149,8,2006800
"Census Tract 69, Bronx County, New York",682,67,2006900
"Census Tract 70, Bronx County, New York",310,27,2007000
"Census Tract 71, Bronx County, New York",151,0,2007100
"Census Tract 72, Bronx County, New York",343,0,2007200
"Census Tract 73, Bronx County, New York",185,8,2007300
"Census Tract 74, Bronx County, New York",278,0,2007400
"Census Tract 75, Bronx County, New York",317,54,2007500
"Census Tract 76, Bronx County, New York",202,7,2007600
"Census Tract 77, Bronx County, New York",154,5,2007700
"Census Tract 78, Bronx County, New York",329,50,2007800
"Census Tract 79, Bronx County, New York",532,17,2007900
"Census Tract 83, Bronx County, New York",328,21,2008300
"Census Tract 84, Bronx County, New York",74,28,2008400
"Census Tract 85, Bronx County, New York",312,42,2008500
"Census Tract 86, Bronx County, New York",294,53,2008600
"Census Tract 87, Bronx County, New York",496,74,2008700
"Census Tract 89, Bronx County, New York",289,77,2008900
"Census Tract 90, Bronx County, New York",220,57,2009000
"Census Tract 92, Bronx County, New York",416,37,2009200
"Census Tract 93, Bronx County, New York",380,31,2009300
"Census Tract 96, Bronx County, New York",100,58,2009600
"Census Tract 98, Bronx County, New York",235,80,2009800
"Census Tract 110, Bronx County, New York",0,0,2011000
"Census Tract 115.02, Bronx County, New York",347,0,2011502
"Census Tract 117, Bronx County, New York",149,17,2011700
"Census Tract 118, Bronx County, New York",12,36,2011800
"Census Tract 119, Bronx County, New York",199,17,2011900
"Census Tract 121.01, Bronx County, New York",181,21,2012101
"Census Tract 121.02, Bronx County, New York",186,12,2012102
"Census Tract 123, Bronx County, New York",224,29,2012300
"Census Tract 125, Bronx County, New York",285,16,2012500
"Census Tract 127.01, Bronx County, New York",179,0,2012701
"Census Tract 129.01, Bronx County, New York",261,43,2012901
"Census Tract 130, Bronx County, New York",31,40,2013000
"Census Tract 131, Bronx County, New York",359,0,2013100
"Census Tract 132, Bronx County, New York",171,145,2013200
"Census Tract 133, Bronx County, New York",627,33,2013300
"Census Tract 135, Bronx County, New York",340,33,2013500
"Census Tract 138, Bronx County, New York",79,27,2013800
"Census Tract 141, Bronx County, New York",325,29,2014100
"Census Tract 143, Bronx County, New York",42,7,2014300
"Census Tract 144, Bronx County, New York",441,158,2014400
"Census Tract 145, Bronx County, New York",463,43,2014500
"Census Tract 147.01, Bronx County, New York",907,28,2014701
"Census Tract 147.02, Bronx County, New York",363,58,2014702
"Census Tract 149, Bronx County, New York",229,39,2014900
"Census Tract 151, Bronx County, New York",410,25,2015100
"Census Tract 152, Bronx County, New York",112,17,2015200
"Census Tract 153, Bronx County, New York",294,51,2015300
"Census Tract 155, Bronx County, New York",139,23,2015500
"Census Tract 157, Bronx County, New York",121,36,2015700
"Census Tract 158, Bronx County, New York",22,32,2015800
"Census Tract 159, Bronx County, New York",38,77,2015900
"Census Tract 160, Bronx County, New York",182,11,2016000
"Census Tract 161, Bronx County, New York",139,7,2016100
"Census Tract 162, Bronx County, New York",68,46,2016200
"Census Tract 163, Bronx County, New York",0,0,2016300
"Census Tract 164, Bronx County, New York",8,20,2016400
"Census Tract 165, Bronx County, New York",54,20,2016500
"Census Tract 166, Bronx County, New York",60,37,2016600
"Census Tract 167, Bronx County, New York",186,6,2016700
"Census Tract 169, Bronx County, New York",89,0,2016900
"Census Tract 171, Bronx County, New York",0,0,2017100
"Census Tract 173, Bronx County, New York",475,2,2017300
"Census Tract 175, Bronx County, New York",386,10,2017500
"Census Tract 177.01, Bronx County, New York",286,52,2017701
"Census Tract 177.02, Bronx County, New York",411,0,2017702
"Census Tract 179.01, Bronx County, New York",375,11,2017901
"Census Tract 179.02, Bronx County, New York",169,23,2017902
"Census Tract 181.01, Bronx County, New York",249,0,2018101
"Census Tract 181.02, Bronx County, New York",336,19,2018102
"Census Tract 183.01, Bronx County, New York",126,67,2018301
"Census Tract 183.02, Bronx County, New York",264,41,2018302
"Census Tract 184, Bronx County, New York",88,37,2018400
"Census Tract 185, Bronx County, New York",500,6,2018500
"Census Tract 189, Bronx County, New York",670,81,2018900
"Census Tract 193, Bronx County, New York",350,21,2019300
"Census Tract 194, Bronx County, New York",101,53,2019400
"Census Tract 195, Bronx County, New York",371,48,2019500
"Census Tract 197, Bronx County, New York",454,66,2019700
"Census Tract 199, Bronx County, New York",475,0,2019900
"Census Tract 200, Bronx County, New York",284,50,2020000
"Census Tract 201, Bronx County, New York",342,25,2020100
"Census Tract 202, Bronx County, New York",106,15,2020200
"Census Tract 204, Bronx County, New York",200,64,2020400
"Census Tract 205.01, Bronx County, New York",608,90,2020501
"Census Tract 205.02, Bronx County, New York",245,0,2020502
"Census Tract 206.01, Bronx County, New York",193,16,2020601
"Census Tract 209, Bronx County, New York",192,21,2020900
"Census Tract 210.01, Bronx County, New York",279,36,2021001
"Census Tract 210.02, Bronx County, New York",164,29,2021002
"Census Tract 211, Bronx County, New York",443,8,2021100
"Census Tract 212, Bronx County, New York",217,0,2021200
"Census Tract 213.01, Bronx County, New York",91,0,2021301
"Census Tract 213.02, Bronx County, New York",248,68,2021302
"Census Tract 215.01, Bronx County, New York",196,14,2021501
"Census Tract 215.02, Bronx County, New York",439,16,2021502
"Census Tract 216.01, Bronx County, New York",230,43,2021601
"Census Tract 216.02, Bronx County, New York",328,41,2021602
"Census Tract 217, Bronx County, New York",399,9,2021700
"Census Tract 218, Bronx County, New York",374,104,2021800
"Census Tract 219, Bronx County, New York",77,0,2021900
"Census Tract 220, Bronx County, New York",148,8,2022000
"Census Tract 221.01, Bronx County, New York",304,7,2022101
"Census Tract 221.02, Bronx County, New York",431,0,2022102
"Census Tract 222, Bronx County, New York",167,9,2022200
"Census Tract 223, Bronx County, New York",201,0,2022300
"Census Tract 224.01, Bronx County, New York",61,51,2022401
"Census Tract 224.03, Bronx County, New York",147,50,2022403
"Census Tract 224.04, Bronx County, New York",274,24,2022404
"Census Tract 225, Bronx County, New York",792,47,2022500
"Census Tract 227.01, Bronx County, New York",233,23,2022701
"Census Tract 227.02, Bronx County, New York",122,0,2022702
"Census Tract 227.03, Bronx County, New York",179,18,2022703
"Census Tract 228, Bronx County, New York",218,28,2022800
"Census Tract 229.01, Bronx County, New York",507,2,2022901
"Census Tract 229.02, Bronx County, New York",241,0,2022902
"Census Tract 230, Bronx County, New York",146,0,2023000
"Census Tract 231, Bronx County, New York",222,0,2023100
"Census Tract 232, Bronx County, New York",138,38,2023200
"Census Tract 233.01, Bronx County, New York",294,0,2023301
"Census Tract 233.02, Bronx County, New York",243,0,2023302
"Census Tract 235.01, Bronx County, New York",161,11,2023501
"Census Tract 235.02, Bronx County, New York",301,14,2023502
"Census Tract 236, Bronx County, New York",129,7,2023600
"Census Tract 237.02, Bronx County, New York",102,3,2023702
"Census Tract 237.03, Bronx County, New York",501,0,2023703
"Census Tract 237.04, Bronx County, New York",148,0,2023704
"Census Tract 238, Bronx County, New York",221,17,2023800
"Census Tract 239, Bronx County, New York",598,58,2023900
"Census Tract 240, Bronx County, New York",285,28,2024000
"Census Tract 241, Bronx County, New York",312,81,2024100
"Census Tract 243, Bronx County, New York",480,14,2024300
"Census Tract 244, Bronx County, New York",78,82,2024400
"Census Tract 245.01, Bronx County, New York",319,14,2024501
"Census Tract 245.02, Bronx County, New York",276,0,2024502
"Census Tract 246, Bronx County, New York",114,50,2024600
"Census Tract 247, Bronx County, New York",162,17,2024700
"Census Tract 248, Bronx County, New York",77,40,2024800
"Census Tract 249, Bronx County, New York",0,0,2024900
"Census Tract 250, Bronx County, New York",38,78,2025000
"Census Tract 251, Bronx County, New York",278,13,2025100
"Census Tract 252, Bronx County, New York",22,69,2025200
"Census Tract 253, Bronx County, New York",327,26,2025300
"Census Tract 254, Bronx County, New York",48,26,2025400
"Census Tract 255, Bronx County, New York",378,23,2025500
"Census Tract 256, Bronx County, New York",80,0,2025600
"Census Tract 257, Bronx County, New York",66,0,2025700
"Census Tract 261, Bronx County, New York",20,27,2026100
"Census Tract 263, Bronx County, New York",211,0,2026300
"Census Tract 264, Bronx County, New York",132,31,2026400
"Census Tract 265, Bronx County, New York",575,0,2026500
"Census Tract 266.01, Bronx County, New York",83,46,2026601
"Census Tract 266.02, Bronx County, New York",114,80,2026602
"Census Tract 267.01, Bronx County, New York",192,11,2026701
"Census Tract 267.02, Bronx County, New York",414,79,2026702
"Census Tract 269, Bronx County, New York",186,0,2026900
"Census Tract 273, Bronx County, New York",403,50,2027300
"Census Tract 274.01, Bronx County, New York",67,72,2027401
"Census Tract 274.02, Bronx County, New York",48,54,2027402
"Census Tract 276, Bronx County, New York",8,0,2027600
"Census Tract 277, Bronx County, New York",312,31,2027700
"Census Tract 279, Bronx County, New York",263,17,2027900
"Census Tract 281, Bronx County, New York",56,37,2028100
"Census Tract 283, Bronx County, New York",118,33,2028300
"Census Tract 284, Bronx County, New York",0,0,2028400
"Census Tract 285, Bronx County, New York",93,19,2028500
"Census Tract 286, Bronx County, New York",35,24,2028600
"Census Tract 287, Bronx County, New York",90,32,2028700
"Census Tract 288, Bronx County, New York",113,53,2028800
"Census Tract 289, Bronx County, New York",105,55,2028900
"Census Tract 293.01, Bronx County, New York",45,37,2029301
"Census Tract 293.02, Bronx County, New York",83,46,2029302
"Census Tract 295, Bronx County, New York",109,87,2029500
"Census Tract 296, Bronx County, New York",28,5,2029600
"Census Tract 297, Bronx County, New York",86,13,2029700
"Census Tract 300, Bronx County, New York",85,89,2030000
"Census Tract 301, Bronx County, New York",8,15,2030100
"Census Tract 302, Bronx County, New York",697,21,2030200
"Census Tract 307.01, Bronx County, New York",104,38,2030701
"Census Tract 309, Bronx County, New York",64,22,2030900
"Census Tract 310, Bronx County, New York",115,101,2031000
"Census Tract 312, Bronx County, New York",25,54,2031200
"Census Tract 314, Bronx County, New York",90,12,2031400
"Census Tract 316, Bronx County, New York",73,46,2031600
"Census Tract 318, Bronx County, New York",44,5,2031800
"Census Tract 319, Bronx County, New York",0,0,2031900
"Census Tract 323, Bronx County, New York",38,85,2032300
"Census Tract 324, Bronx County, New York",190,68,2032400
"Census Tract 326, Bronx County, New York",55,35,2032600
"Census Tract 328, Bronx County, New York",206,24,2032800
"Census Tract 330, Bronx County, New York",132,48,2033000
"Census Tract 332.01, Bronx County, New York",182,11,2033201
"Census Tract 332.02, Bronx County, New York",227,10,2033202
"Census Tract 334, Bronx County, New York",43,0,2033400
"Census Tract 335, Bronx County, New York",13,40,2033500
"Census Tract 336, Bronx County, New York",408,34,2033600
"Census Tract 337, Bronx County, New York",39,97,2033700
"Census Tract 338, Bronx County, New York",237,42,2033800
"Census Tract 340, Bronx County, New York",245,76,2034000
"Census Tract 342, Bronx County, New York",148,21,2034200
"Census Tract 343, Bronx County, New York",37,37,2034300
"Census Tract 344, Bronx County, New York",174,55,2034400
"Census Tract 345, Bronx County, New York",80,22,2034500
"Census Tract 348, Bronx County, New York",543,78,2034800
"Census Tract 350, Bronx County, New York",112,20,2035000
"Census Tract 351, Bronx County, New York",63,3,2035100
"Census Tract 356, Bronx County, New York",83,53,2035600
"Census Tract 358, Bronx County, New York",368,49,2035800
"Census Tract 359, Bronx County, New York",156,11,2035900
"Census Tract 360, Bronx County, New York",127,19,2036000
"Census Tract 361, Bronx County, New York",364,86,2036100
"Census Tract 363, Bronx County, New York",582,18,2036300
"Census Tract 364, Bronx County, New York",228,20,2036400
"Census Tract 365.01, Bronx County, New York",293,10,2036501
"Census Tract 365.02, Bronx County, New York",177,6,2036502
"Census Tract 367, Bronx County, New York",172,16,2036700
"Census Tract 368, Bronx County, New York",176,5,2036800
"Census Tract 369.01, Bronx County, New York",189,0,2036901
"Census Tract 369.02, Bronx County, New York",212,0,2036902
"Census Tract 370, Bronx County, New York",79,20,2037000
