DBN,School Name,Total Student Response Rate,"1a. This school offers a wide enough variety of programs, classes and activities to keep me interested in school.",,"1b. The programs, classes, and activities at this school encourage students to develop talent outside academics.",,1c. This school is kept clean.,,1d. Most students at this school treat each other with respect.,,"1e. At this school, students with disabilities are included in all school activities (lunch, class trips, etc.).",,1f. My teachers use examples of students’ different cultures/backgrounds/families in their lessons to make learning more meaningful for me.,,"1g. I see people of many races, ethnicities, cultures, and backgrounds represented in the curriculum.",,"1h. In general, my teachers treat students from different cultures or backgrounds equally.",,1i. I feel that my teachers respect my culture/background.,,"1j. In general, my teachers make their lessons relevant to my everyday life experiences.",,"1k. In general, my teachers present positive images of people from a variety of races, ethnicities, cultures, and backgrounds.",,2a. I learn a lot from feedback on my work.,,2b. It's clear what I need to do to get a good grade.,,2c. The work we do in class is good preparation for our class tests.,,2d. The homework assignments help me learn the course material.,,2e. I know what my teacher wants me to learn in class.,,3a. My teachers help me catch up if I am behind.,,3b. My teachers notice if I have trouble learning something.,,3c. My teachers give me specific suggestions about how I can improve my work in class.,,3d. My teachers explain things a different way if I don't understand something in class.,,3e. My teachers support me when I am upset.,,4a. I’m learning a lot in my classes at this school to prepare me for the next level or grade.,,4b. There is at least one adult in the school that I can confide in.,,4c. My teachers will always listen to students' ideas.,,4d. My teachers always do what they say they will do.,,4e. My teachers treat me with respect.,,"4f. When my teachers tell me not to do something, I know they have a good reason.",,4g. My classes at this school really make me think critically.,,4h. Discipline is applied fairly in my school.,,4i. School Safety Agents promote a safe and respectful environment at this school.,,5a. In how many of your classes are you challenged?,,5b. In how many of your classes do your teachers ask difficult questions on tests?,,5c. In how many of your classes do your teachers ask difficult questions in class?,,5d. In how many of your classes do you work in small groups?,,"5e. In how many of your classes do your teachers want students to become better thinkers, not just memorize things?",,6a. In how many of your classes at this school do YOU feel most students listen carefully when the teacher gives directions?,,6b. In how many of your classes at this school do YOU feel most students follow the rules in class?,,6c. In how many of your classes at this school do YOU feel most students pay attention when they are supposed to?,,6d. In how many of your classes at this school do YOU feel most students work when they are supposed to?,,6e. In how many of your classes at this school do YOU feel most students behave well even when the teacher isn't watching?,,6f. In how many of your classes at this school do YOU feel most students feel it is important to come to school every day?,,6g. In how many of your classes at this school do YOU feel most students feel it is important to pay attention in class?,,6h. In how many of your classes at this school do YOU feel most students think doing homework is important?,,6i. In how many of your classes at this school do YOU feel most students try hard to get good grades?,,7a. I feel safe outside around this school.,,7b. I feel safe traveling between home and this school.,,"7c. I feel safe in the hallways, bathrooms, locker rooms, and cafeteria of this school.",,7d. I feel safe in my classes at this school.,,"8a. At this school students harass, bully or intimidate other students.",,"8b. At this school students harass, bully, or intimidate each other because of their race, religion, ethnicity, national origin, or citizenship/immigration status. ",,"8c. At this school students harass, bully, or intimidate each other because of their gender, gender identity, gender expression, or sexual orientation.",,"8d. At this school students harass, bully, or intimidate each other because of other differences, like disability or weight.",,"8e. At this school students harass, bully, or intimidate each other online (through mobile phones, social media, email, or other forms of electronic communication). ",,8f. At this school students get into physical fights.,,"8g. At this school students drink alcohol, use illegal drugs, or abuse prescription drugs while at school.",,8h. At this school there is gang activity.,,9a.This school provides guidance for the application process for high school.,,9b. This school educates families about the application/enrollment process for high school.,,"10a. Adults at this school (including teachers, administrators, counselors, and the principal) talk to me about what I plan to do after high school.",,"10b. Adults at this school (including teachers, administrators, counselors, and the principal) encourage me to continue my education after high school.",,"10c. Adults at this school (including teachers, administrators, counselors, and the principal) provide me with information about the college application process.",,"10d.  Adults at this school (including teachers, administrators, counselors, and the principal) help me plan for how to meet my future career goals. ",,"11a. Adults at this school (including teachers, administrators, counselors, and the principal) help me consider which colleges to apply to.",,"11b. Adults at this school (including teachers, administrators, counselors, and the principal) show me options for how to pay for college (scholarship, grants, loans, work study programs, etc.).",
01M450,EAST SIDE COMMUNITY SCHOOL,91%,10%,90%,9%,91%,38%,62%,18%,82%,4%,96%,9%,91%,5%,95%,3%,97%,3%,97%,19%,81%,3%,97%,16%,84%,9%,91%,12%,88%,23%,77%,9%,91%,18%,82%,21%,79%,16%,84%,16%,84%,26%,74%,7%,93%,15%,85%,10%,90%,18%,82%,5%,95%,13%,87%,12%,88%,16%,84%,14%,86%,29%,71%,30%,70%,33%,67%,26%,74%,12%,88%,23%,77%,21%,79%,20%,80%,18%,82%,37%,63%,24%,76%,23%,77%,34%,66%,15%,85%,8%,92%,6%,94%,7%,93%,4%,96%,76%,24%,85%,15%,84%,16%,81%,19%,76%,24%,83%,17%,88%,12%,92%,8%,16%,84%,14%,86%,14%,86%,6%,94%,8%,92%,12%,88%,7%,93%,10%,90%
01M458,FORSYTH SATELLITE ACADEMY,36%,14%,86%,13%,87%,11%,89%,20%,80%,4%,96%,10%,90%,7%,93%,6%,94%,4%,96%,13%,88%,4%,96%,35%,65%,7%,93%,14%,86%,33%,67%,14%,86%,25%,75%,39%,61%,19%,81%,23%,77%,23%,77%,9%,91%,9%,91%,4%,96%,11%,89%,4%,96%,4%,96%,14%,86%,7%,93%,2%,98%,54%,46%,55%,45%,57%,43%,42%,58%,14%,86%,18%,82%,16%,84%,22%,78%,22%,78%,22%,78%,27%,73%,18%,82%,27%,73%,16%,84%,13%,87%,11%,89%,5%,95%,4%,96%,82%,18%,85%,15%,84%,16%,84%,16%,82%,18%,84%,16%,73%,27%,82%,18%,N/A,N/A,N/A,N/A,11%,89%,9%,91%,11%,89%,13%,87%,8%,92%,6%,94%
01M509,MARTA VALLE HIGH SCHOOL,74%,76%,24%,67%,33%,46%,54%,36%,64%,16%,84%,20%,80%,26%,74%,11%,89%,11%,89%,40%,60%,19%,81%,50%,50%,19%,81%,35%,65%,59%,41%,33%,68%,39%,61%,51%,49%,38%,62%,43%,57%,59%,41%,33%,67%,27%,73%,37%,63%,42%,58%,14%,86%,27%,73%,43%,57%,57%,43%,38%,62%,65%,35%,42%,58%,56%,44%,36%,64%,32%,68%,53%,47%,49%,51%,49%,51%,47%,53%,63%,37%,59%,41%,45%,55%,64%,36%,37%,63%,31%,69%,24%,76%,20%,80%,16%,84%,79%,21%,88%,12%,88%,12%,86%,14%,80%,20%,67%,33%,88%,12%,89%,11%,N/A,N/A,N/A,N/A,33%,67%,19%,81%,29%,71%,32%,68%,41%,59%,40%,60%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,78%,5%,95%,6%,94%,9%,91%,9%,91%,4%,96%,5%,95%,4%,96%,5%,95%,2%,98%,6%,94%,3%,97%,19%,81%,11%,89%,12%,88%,17%,83%,9%,91%,18%,82%,21%,79%,18%,82%,14%,86%,23%,77%,4%,96%,8%,92%,7%,93%,7%,93%,4%,96%,5%,95%,8%,92%,7%,93%,6%,94%,28%,72%,31%,69%,35%,65%,20%,80%,12%,88%,18%,82%,17%,83%,16%,84%,16%,84%,21%,79%,14%,86%,12%,88%,14%,86%,13%,87%,13%,87%,14%,86%,7%,93%,4%,96%,80%,20%,82%,18%,83%,17%,84%,16%,82%,18%,84%,16%,81%,19%,85%,15%,N/A,N/A,N/A,N/A,7%,93%,4%,96%,7%,93%,10%,90%,6%,94%,5%,95%
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",96%,18%,82%,25%,75%,40%,60%,23%,77%,8%,92%,31%,69%,19%,81%,7%,93%,6%,94%,32%,68%,9%,91%,36%,64%,15%,85%,21%,79%,32%,68%,16%,84%,32%,68%,41%,59%,37%,63%,38%,62%,48%,52%,15%,85%,25%,75%,27%,73%,34%,66%,12%,88%,21%,79%,27%,73%,34%,66%,21%,79%,41%,59%,30%,70%,39%,61%,27%,73%,28%,72%,35%,65%,32%,68%,32%,68%,28%,72%,50%,50%,31%,69%,34%,66%,42%,58%,24%,76%,28%,72%,16%,84%,10%,90%,6%,94%,68%,32%,81%,19%,79%,21%,79%,21%,74%,26%,73%,27%,63%,37%,88%,12%,41%,59%,38%,62%,20%,80%,8%,92%,11%,89%,22%,78%,18%,82%,23%,77%
01M650,CASCADES HIGH SCHOOL,64%,11%,89%,11%,89%,5%,95%,22%,78%,3%,97%,20%,80%,4%,96%,9%,91%,4%,96%,12%,88%,8%,93%,17%,83%,11%,89%,10%,90%,19%,81%,10%,90%,20%,80%,23%,77%,18%,82%,22%,78%,31%,69%,6%,94%,9%,91%,12%,88%,18%,83%,9%,91%,10%,90%,9%,91%,12%,88%,7%,93%,40%,60%,38%,62%,43%,57%,48%,52%,16%,84%,24%,76%,26%,74%,26%,74%,22%,78%,33%,68%,37%,63%,23%,77%,41%,59%,23%,77%,11%,89%,6%,94%,7%,93%,5%,95%,72%,28%,77%,23%,78%,22%,77%,23%,74%,26%,68%,32%,70%,30%,71%,29%,N/A,N/A,N/A,N/A,1%,99%,4%,96%,2%,98%,2%,98%,6%,94%,5%,95%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,94%,12%,88%,18%,82%,25%,75%,12%,88%,7%,93%,24%,76%,16%,84%,9%,91%,5%,95%,27%,73%,4%,96%,23%,77%,17%,83%,20%,80%,23%,77%,13%,87%,34%,66%,40%,60%,32%,68%,26%,74%,48%,52%,9%,91%,19%,81%,14%,86%,27%,73%,4%,96%,11%,89%,6%,94%,28%,72%,11%,89%,17%,83%,12%,88%,18%,82%,17%,83%,14%,86%,15%,85%,11%,89%,14%,86%,13%,87%,25%,75%,16%,84%,15%,85%,24%,76%,10%,90%,18%,82%,15%,85%,5%,95%,4%,96%,81%,19%,86%,14%,85%,15%,87%,13%,81%,19%,91%,9%,56%,44%,94%,6%,N/A,N/A,N/A,N/A,21%,79%,9%,91%,14%,86%,20%,80%,15%,85%,19%,81%
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,97%,12%,88%,11%,89%,31%,69%,35%,65%,4%,96%,12%,88%,5%,95%,5%,95%,3%,97%,20%,80%,3%,97%,30%,70%,19%,81%,16%,84%,33%,67%,14%,86%,29%,71%,37%,63%,29%,71%,30%,70%,39%,61%,7%,93%,10%,90%,17%,83%,28%,72%,11%,89%,24%,76%,20%,80%,20%,80%,11%,89%,53%,47%,53%,47%,55%,45%,48%,52%,17%,83%,32%,68%,23%,77%,30%,70%,23%,77%,49%,51%,28%,72%,23%,77%,42%,58%,20%,80%,11%,89%,5%,95%,10%,90%,6%,94%,60%,40%,76%,24%,71%,29%,68%,32%,68%,32%,78%,22%,94%,6%,91%,9%,6%,94%,8%,92%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,96%,57%,43%,41%,59%,44%,56%,23%,77%,5%,95%,13%,87%,11%,89%,9%,91%,6%,94%,27%,73%,7%,93%,36%,64%,16%,84%,31%,69%,49%,51%,23%,77%,39%,61%,49%,51%,39%,61%,36%,64%,54%,46%,15%,85%,20%,80%,24%,76%,41%,59%,12%,88%,22%,78%,37%,63%,35%,65%,19%,81%,53%,47%,35%,65%,45%,55%,21%,79%,29%,71%,46%,54%,42%,58%,44%,56%,40%,60%,55%,45%,52%,48%,41%,59%,58%,42%,35%,65%,8%,92%,13%,87%,6%,94%,7%,93%,80%,20%,90%,10%,92%,8%,86%,14%,78%,22%,91%,9%,93%,7%,94%,6%,N/A,N/A,N/A,N/A,24%,76%,14%,86%,25%,75%,25%,75%,28%,72%,31%,69%
02M104,J.H.S. 104 SIMON BARUCH,91%,11%,89%,18%,82%,72%,28%,58%,42%,10%,90%,34%,66%,8%,92%,11%,89%,6%,94%,27%,73%,7%,93%,39%,61%,19%,81%,18%,82%,39%,61%,16%,84%,34%,66%,44%,56%,37%,63%,37%,63%,44%,56%,12%,88%,22%,78%,22%,78%,39%,61%,11%,89%,22%,78%,26%,74%,35%,65%,25%,75%,48%,52%,44%,56%,53%,47%,40%,60%,24%,76%,43%,57%,38%,62%,41%,59%,33%,67%,60%,40%,30%,70%,33%,67%,47%,53%,20%,80%,23%,77%,11%,89%,29%,71%,8%,92%,39%,61%,65%,35%,68%,32%,65%,35%,61%,39%,44%,56%,70%,30%,77%,23%,13%,87%,13%,87%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M114,EAST SIDE MIDDLE SCHOOL,98%,7%,93%,14%,86%,5%,95%,17%,83%,8%,92%,38%,62%,22%,78%,3%,97%,2%,98%,25%,75%,5%,95%,22%,78%,16%,84%,12%,88%,25%,75%,10%,90%,24%,76%,33%,67%,30%,70%,26%,74%,34%,66%,8%,92%,23%,77%,14%,86%,28%,72%,5%,95%,13%,87%,17%,83%,19%,81%,14%,86%,36%,64%,35%,65%,45%,55%,35%,65%,16%,84%,24%,76%,18%,82%,27%,73%,20%,80%,45%,55%,18%,82%,20%,80%,34%,66%,12%,88%,4%,96%,4%,96%,4%,96%,3%,97%,76%,24%,92%,8%,91%,9%,89%,11%,77%,23%,93%,7%,94%,6%,96%,4%,25%,75%,20%,80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M126,P.S. 126 JACOB AUGUST RIIS,95%,8%,92%,7%,93%,31%,69%,35%,65%,7%,93%,20%,80%,7%,93%,8%,92%,2%,98%,14%,86%,6%,94%,34%,66%,16%,84%,14%,86%,25%,75%,14%,86%,27%,73%,35%,65%,29%,71%,27%,73%,50%,50%,8%,92%,20%,80%,12%,88%,33%,67%,6%,94%,12%,88%,18%,82%,24%,76%,13%,87%,45%,55%,46%,54%,53%,47%,32%,68%,14%,86%,24%,76%,18%,82%,20%,80%,16%,84%,43%,57%,17%,83%,17%,83%,28%,72%,12%,88%,17%,83%,8%,92%,11%,89%,3%,97%,59%,41%,80%,20%,86%,14%,76%,24%,74%,26%,69%,31%,95%,5%,92%,8%,5%,95%,9%,91%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
